1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtFinSF1,BsmtUnfSF,GarageArea,GarageYrBlt,GrLivArea,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice,KitchenQual_Enc,GarageFinish_Enc,BsmtExposure_Enc,BsmtFinType1_Enc
1828,0.0,3.0,48,1774,774,2007.0,1828,11694,90.0,452.0,108,5,9,1822,2007,2007,314813,3,0.0,2.0,-1.0
894,0.0,2.0,0,894,308,1962.0,894,6600,60.0,0.0,0,5,5,894,1962,1962,109500,2,-1.0,0.0,0.0
964,0.0,2.0,713,163,432,1921.0,964,13360,80.0,0.0,0,7,5,876,1921,2006,163500,2,0.0,0.0,3.0
1689,0.0,3.0,1218,350,857,2002.0,1689,13265,69.0,148.0,59,5,8,1568,2002,2002,271000,3,1.0,0.0,4.0
1541,0.0,3.0,0,1541,843,2001.0,1541,13704,118.0,150.0,81,5,7,1541,2001,2002,205000,3,1.0,0.0,0.0
1221,0.0,2.0,410,811,400,2004.0,1221,7500,62.0,0.0,113,5,7,1221,2004,2005,185000,3,1.0,0.0,4.0
1324,0.0,3.0,643,445,440,1965.0,1324,8658,84.0,101.0,138,5,6,1088,1965,1965,160000,2,-1.0,0.0,1.0
696,720.0,3.0,604,92,484,1999.0,1416,2572,24.0,0.0,44,5,7,696,1999,1999,155000,3,0.0,0.0,3.0
526,462.0,2.0,462,0,297,1973.0,988,1596,21.0,0.0,101,5,4,462,1973,1973,91000,2,0.0,3.0,4.0
869,349.0,3.0,375,360,440,2003.0,1218,6000,60.0,0.0,0,6,6,735,1941,1950,131000,2,0.0,0.0,3.0
760,896.0,3.0,0,746,397,2003.0,1656,6931,60.0,92.0,128,5,7,746,2003,2004,165400,3,2.0,0.0,0.0
1362,0.0,2.0,20,1342,460,2005.0,1362,7577,61.0,256.0,28,5,6,1362,2005,2006,194700,3,-1.0,2.0,3.0
1051,788.0,4.0,0,756,442,1966.0,1839,7700,70.0,351.0,124,5,6,756,1966,1966,155000,2,0.0,0.0,0.0
1375,0.0,2.0,0,1367,451,1954.0,1375,11310,75.0,0.0,30,5,6,1367,1954,1954,140000,2,0.0,0.0,0.0
1122,0.0,2.0,144,172,528,1948.0,1122,12000,100.0,0.0,36,7,5,924,1948,2005,147000,3,0.0,0.0,4.0
1432,0.0,2.0,680,289,588,1978.0,1432,16157,69.0,0.0,180,7,5,1360,1978,1978,194000,3,0.0,3.0,3.0
728,728.0,3.0,0,728,400,2007.0,1456,9018,65.0,0.0,24,5,7,728,2007,2007,179540,3,2.0,2.0,0.0
1217,0.0,3.0,611,577,497,1990.0,1217,9947,69.0,0.0,27,5,7,1188,1990,1991,173000,3,0.0,2.0,4.0
1040,0.0,2.0,0,0,625,1950.0,1040,7200,60.0,0.0,0,7,5,0,1950,1950,109500,2,0.0,-1.0,-1.0
612,612.0,2.0,294,318,528,2009.0,1224,3000,30.0,76.0,234,5,6,612,2009,2009,173733,3,1.0,2.0,4.0
1022,752.0,2.0,0,952,468,1931.0,1774,6120,51.0,0.0,0,5,7,952,1931,1950,129900,2,0.0,0.0,0.0
961,406.0,4.0,241,229,384,1978.0,1367,8405,50.0,0.0,130,8,5,861,1900,1950,119000,2,0.0,0.0,1.0
803,557.0,2.0,0,803,297,1951.0,1360,7200,60.0,0.0,65,6,5,803,1938,1995,125500,3,-1.0,0.0,0.0
848,0.0,1.0,697,151,420,2004.0,848,4426,69.0,147.0,0,5,6,848,2004,2004,149300,3,1.0,2.0,4.0
1482,780.0,3.0,871,611,749,2003.0,2262,12244,85.0,226.0,0,5,8,1482,2003,2003,305000,3,2.0,3.0,4.0
1220,0.0,2.0,836,0,396,1951.0,1220,8877,67.0,0.0,0,5,4,836,1951,1951,102000,2,0.0,0.0,-1.0
1414,0.0,2.0,0,1375,398,2004.0,1414,3072,69.0,18.0,20,5,7,1375,2004,2004,178740,3,2.0,0.0,0.0
1134,924.0,3.0,319,416,396,1950.0,2058,9600,60.0,0.0,0,5,6,735,1917,1950,129500,2,0.0,0.0,1.0
1088,110.0,4.0,0,901,0,0.0,1198,5586,60.0,0.0,98,7,6,901,1920,1998,79900,2,-1.0,0.0,-1.0
1659,0.0,2.0,1158,343,499,2000.0,1659,5664,40.0,0.0,59,5,8,1501,2000,2000,278000,4,2.0,0.0,4.0
1012,0.0,2.0,0,1012,308,1920.0,1012,8263,59.0,0.0,22,5,6,1012,1920,1950,118400,2,0.0,0.0,0.0
1687,998.0,5.0,523,301,672,1970.0,3082,15863,102.0,0.0,63,3,7,824,1920,1970,197000,2,2.0,0.0,4.0
1032,0.0,4.0,0,360,672,1999.0,1812,7630,76.0,0.0,0,9,5,360,1900,1996,140000,3,0.0,0.0,0.0
1057,872.0,3.0,738,319,650,2001.0,1929,7050,69.0,0.0,235,5,7,1057,2001,2001,226000,3,2.0,0.0,-1.0
954,0.0,3.0,483,428,576,1976.0,954,10780,55.0,0.0,0,5,5,911,1976,1976,132500,2,0.0,2.0,3.0
1838,0.0,2.0,1260,578,765,2006.0,1838,14601,85.0,584.0,68,5,9,1838,2006,2006,315000,4,-1.0,2.0,4.0
1640,0.0,3.0,728,568,924,1993.0,1640,14778,69.0,72.0,0,7,6,1296,1954,2006,224000,3,0.0,0.0,2.0
1148,0.0,3.0,1148,0,672,1959.0,1148,7931,70.0,0.0,0,5,5,1148,1959,1959,132500,2,0.0,0.0,2.0
950,0.0,3.0,412,251,280,1981.0,950,9758,61.0,0.0,0,5,5,950,1971,1971,119500,2,0.0,0.0,2.0
1065,846.0,3.0,380,397,471,1993.0,1911,9554,80.0,125.0,81,5,8,777,1993,1994,215000,3,1.0,0.0,-1.0
915,720.0,3.0,300,765,440,1950.0,1635,8737,70.0,0.0,38,7,6,1065,1923,1950,210000,2,0.0,0.0,1.0
1316,0.0,3.0,0,1316,440,2007.0,1316,11175,103.0,0.0,20,5,7,1316,2007,2007,200141,3,2.0,2.0,-1.0
1442,0.0,2.0,0,1442,615,1970.0,1442,11717,69.0,571.0,0,6,6,1442,1970,1970,185000,2,1.0,0.0,0.0
1078,0.0,3.0,734,344,500,1971.0,1078,12537,69.0,0.0,0,6,5,1078,1971,2008,149900,2,2.0,0.0,4.0
1120,0.0,3.0,932,108,544,1961.0,1120,6970,85.0,0.0,0,5,4,1040,1961,1961,129000,1,1.0,0.0,3.0
779,640.0,3.0,353,55,527,2002.0,1419,7750,69.0,0.0,0,5,8,408,2002,2002,184100,3,2.0,0.0,4.0
707,682.0,3.0,0,651,240,1947.0,1389,3378,60.0,0.0,0,8,7,651,1946,1992,135000,2,0.0,0.0,0.0
1063,0.0,3.0,354,412,280,1954.0,1063,9920,80.0,110.0,0,5,5,1056,1954,1954,128000,2,1.0,0.0,1.0
1792,0.0,2.0,1567,225,874,2003.0,1792,11846,72.0,562.0,49,5,9,1792,2003,2004,374000,4,2.0,3.0,4.0
1216,0.0,2.0,897,319,402,1998.0,1216,4500,32.0,116.0,125,5,6,1216,1998,1998,164000,2,0.0,0.0,4.0
998,764.0,4.0,0,596,576,1989.0,1762,7200,60.0,0.0,0,7,7,596,1920,1950,157000,3,0.0,0.0,0.0
847,1112.0,4.0,0,847,434,2004.0,1959,11796,59.0,0.0,48,5,7,847,2004,2005,215000,3,2.0,2.0,0.0
1208,0.0,3.0,767,441,546,1977.0,1208,11250,69.0,0.0,42,6,6,1208,1977,1977,165000,2,1.0,0.0,3.0
874,650.0,3.0,460,414,315,1958.0,1524,11344,78.0,180.0,0,5,5,874,1958,1958,144000,2,0.0,0.0,2.0
796,358.0,3.0,735,61,240,1922.0,1154,5436,40.0,0.0,96,8,4,796,1922,2007,125500,3,0.0,0.0,2.0
1048,0.0,3.0,0,0,420,1950.0,1048,7200,60.0,0.0,27,5,5,0,1950,1950,98300,2,0.0,-1.0,-1.0
886,0.0,2.0,0,190,273,1938.0,886,5784,50.0,0.0,20,8,5,190,1938,1996,91300,2,0.0,0.0,0.0
943,0.0,2.0,943,0,600,1979.0,943,7032,69.0,0.0,0,5,5,943,1979,1979,135960,2,0.0,3.0,4.0
866,902.0,3.0,400,466,603,2005.0,1768,9803,75.0,0.0,108,5,7,866,2005,2005,226700,3,1.0,0.0,4.0
1422,1177.0,4.0,0,1393,779,1999.0,2599,14774,108.0,165.0,30,5,9,1393,1999,1999,333168,3,2.0,0.0,0.0
912,0.0,2.0,456,456,275,1958.0,912,10150,70.0,1.0,0,5,5,912,1958,1958,114500,2,1.0,0.0,1.0
