2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,GarageArea,GarageFinish,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt
0.0,3.0,0.0,48,0.0,1774,774,0.0,1828,0,4.067963089501265,1.954242509439325,452.0,108,5,9,1822,2007
0.0,2.0,1.0,0,0.0,894,308,0.0,894,1,3.8195439355418688,1.7781512503836436,0.0,0,5,5,894,1962
0.0,2.0,1.0,713,1.0,163,432,0.0,964,1,4.125806458139527,1.9030899869919435,0.0,0,7,5,876,1921
0.0,3.0,1.0,1218,2.0,350,857,1.0,1689,0,4.122707254318348,1.8388490907372552,148.0,59,5,8,1568,2002
0.0,3.0,1.0,0,0.0,1541,843,1.0,1541,0,4.1368473499574545,2.0718820073061255,150.0,81,5,7,1541,2001
0.0,2.0,1.0,410,2.0,811,400,1.0,1221,0,3.8750612633917,1.792391689498254,0.0,113,5,7,1221,2004
0.0,3.0,1.0,643,3.0,445,440,0.0,1324,1,3.937417581477138,1.9242792860618816,101.0,138,5,6,1088,1965
720.0,3.0,1.0,604,1.0,92,484,0.0,1416,0,3.4102709642521845,1.380211241711606,0.0,44,5,7,696,1999
462.0,2.0,2.0,462,2.0,0,297,0.0,988,1,3.2030328870147105,1.3222192947339193,0.0,101,5,4,462,1973
349.0,3.0,1.0,375,1.0,360,440,0.0,1218,1,3.7781512503836434,1.7781512503836436,0.0,0,6,6,735,1941
896.0,3.0,1.0,0,0.0,746,397,2.0,1656,0,3.8407958988470936,1.7781512503836436,92.0,128,5,7,746,2003
0.0,2.0,0.0,20,1.0,1342,460,0.0,1362,0,3.8794972872494284,1.7853298350107671,256.0,28,5,6,1362,2005
788.0,4.0,1.0,0,0.0,756,442,0.0,1839,1,3.886490725172482,1.845098040014257,351.0,124,5,6,756,1966
0.0,2.0,1.0,0,0.0,1367,451,0.0,1375,1,4.053462604925455,1.8750612633917,0.0,30,5,6,1367,1954
0.0,2.0,1.0,144,2.0,172,528,0.0,1122,0,4.079181246047625,2.0,0.0,36,7,5,924,1948
0.0,2.0,2.0,680,1.0,289,588,0.0,1432,0,4.208360724978379,1.8388490907372552,0.0,180,7,5,1360,1978
728.0,3.0,0.0,0,0.0,728,400,2.0,1456,0,3.955110230970552,1.8129133566428555,0.0,24,5,7,728,2007
0.0,3.0,0.0,611,2.0,577,497,0.0,1217,0,3.9976921179417264,1.8388490907372552,0.0,27,5,7,1188,1990
0.0,2.0,1.0,0,0.0,0,625,0.0,1040,1,3.8573324964312685,1.7781512503836436,0.0,0,7,5,0,1950
612.0,2.0,0.0,294,2.0,318,528,1.0,1224,0,3.4771212547196626,1.4771212547196624,76.0,234,5,6,612,2009
752.0,2.0,1.0,0,0.0,952,468,0.0,1774,1,3.7867514221455614,1.7075701760979363,0.0,0,5,7,952,1931
406.0,4.0,1.0,241,3.0,229,384,0.0,1367,1,3.9245377177754897,1.6989700043360187,0.0,130,8,5,861,1900
557.0,2.0,1.0,0,0.0,803,297,0.0,1360,0,3.8573324964312685,1.7781512503836436,0.0,65,6,5,803,1938
0.0,1.0,0.0,697,2.0,151,420,1.0,848,0,3.6460114095912393,1.8388490907372552,147.0,0,5,6,848,2004
780.0,3.0,2.0,871,2.0,611,749,2.0,2262,0,4.087923320925297,1.9294189257142926,226.0,0,5,8,1482,2003
0.0,2.0,1.0,836,4.0,0,396,0.0,1220,1,3.9482662198802956,1.8260748027008264,0.0,0,5,4,836,1951
0.0,2.0,1.0,0,0.0,1375,398,2.0,1414,0,3.4874212113594742,1.8388490907372552,18.0,20,5,7,1375,2004
924.0,3.0,1.0,319,3.0,416,396,0.0,2058,1,3.9822712330395684,1.7781512503836436,0.0,0,5,6,735,1917
110.0,4.0,1.0,0,0.0,901,0,0.0,1198,1,3.747100931364986,1.7781512503836436,0.0,98,7,6,901,1920
0.0,2.0,1.0,1158,2.0,343,499,2.0,1659,2,3.7531232446817127,1.6020599913279623,0.0,59,5,8,1501,2000
0.0,2.0,1.0,0,0.0,1012,308,0.0,1012,1,3.917137752756444,1.7708520116421442,0.0,22,5,6,1012,1920
998.0,5.0,1.0,523,2.0,301,672,2.0,3082,1,4.2003853242323865,2.0086001717619175,0.0,63,3,7,824,1920
0.0,4.0,1.0,0,0.0,360,672,0.0,1812,0,3.8825245379548803,1.8808135922807914,0.0,0,9,5,360,1900
